Age,Data Source,Destination,Disability,Education Level,Grade,Immigration Status,Indicator,Origin,Reference Area,Residence,School Subject ,Sex,Socioeconomic Background,State or Province,Time Period,Type Of Institution,Unit Measure,Wealth Quintile,Obs Value
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,95.66578
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,95.66992
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,96.52755
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,97.76347
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2005,Total,%,Total,91.70917
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2013,Total,%,Total,93.86874
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2014,Total,%,Total,95.07818
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2015,Total,%,Total,95.64856
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2016,Total,%,Total,97.3222
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2017,Total,%,Total,95.86488
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2018,Total,%,Total,96.14278
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Female,Total,,2019,Total,%,Total,96.33181
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2005,Total,%,Total,86.62588
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2013,Total,%,Total,91.78553
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2014,Total,%,Total,92.96072
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2015,Total,%,Total,93.87887
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2016,Total,%,Total,94.08237
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2017,Total,%,Total,95.4834
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2018,Total,%,Total,96.89652
Total,UIS,Total,Total,Upper secondary,Total,Total,Gross enrolment ratio (primary to upper secondary),Total,United States,Total,Total,Male,Total,,2019,Total,%,Total,99.13872
Total,UIS,Total,Total,Upper secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2005,Total,%,Total,91.43646
Total,UIS,Total,Total,Upper secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2013,Total,%,Total,92.08272
Total,UIS,Total,Total,Upper secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2014,Total,%,Total,93.20093
Total,UIS,Total,Total,Upper secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,93.92387
Total,UIS,Total,Total,Upper secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,95.27139
Total,UIS,Total,Total,Upper secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,95.21186
Total,UIS,Total,Total,Upper secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2018,Total,%,Total,96.40283
Total,UIS,Total,Total,Upper secondary,Total,Total,Total net enrolment rate,Total,United States,Total,Total,Both sexes,Total,,2019,Total,%,Total,96.24925
Total,"United States of America American Community Survey 2010. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Lower secondary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2010,Total,%,Total,98.31644
Total,"United States of America American Community Survey 2010. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Primary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2010,Total,%,Total,98.02867
Total,"United States of America American Community Survey 2010. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Upper secondary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2010,Total,%,Total,96.48198
Total,"United States of America American Community Survey 2015. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Lower secondary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,98.13395
Total,"United States of America American Community Survey 2015. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Primary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,97.90289
Total,"United States of America American Community Survey 2015. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Upper secondary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2015,Total,%,Total,96.75272
Total,"United States of America American Community Survey 2016. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Lower secondary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,98.04008
Total,"United States of America American Community Survey 2016. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Primary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,100
Total,"United States of America American Community Survey 2016. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Upper secondary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2016,Total,%,Total,91.76186
Total,"United States of America American Community Survey 2017. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Lower secondary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,98.02136
Total,"United States of America American Community Survey 2017. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Primary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,100
Total,"United States of America American Community Survey 2017. IPUMS-USA, University of Minnesota. The survey collected data on school attendance and educational attainment for age 3 and above.",Total,Total,Upper secondary,Total,Total,Total net attendance rate,Total,United States,Total,Total,Both sexes,Total,,2017,Total,%,Total,91.67787
